id,page,section,field,current_text,new_text,notes
GLOBAL_META_TITLE,global,metadata,title,Dad Skeleton,,Browser tab title
GLOBAL_META_DESCRIPTION,global,metadata,description,"Comedy troupe - Improv, Sketches, and Live Shows",,SEO meta description
HEADER_BRAND_WORD_1,global,header,brand_word_1,Dad,,Header brand lockup
HEADER_BRAND_WORD_2,global,header,brand_word_2,Skeleton,,Header brand lockup
HEADER_NAV_ABOUT,global,header,nav_label,About,,
HEADER_NAV_VIDEOS,global,header,nav_label,Videos,,
HEADER_NAV_CALENDAR,global,header,nav_label,Calendar,,
HEADER_NAV_GALLERY,global,header,nav_label,Gallery,,
HEADER_NAV_TOOLS,global,header,nav_label,Tools,,
HEADER_NAV_GET_INVOLVED,global,header,nav_label,Get Involved,,
HEADER_MOBILE_ARIA_TOGGLE,global,header,aria_label,Toggle menu,,Accessibility label
FOOTER_TAGLINE,global,footer,tagline,"Comedy troupe bringing improv, sketches, and live shows.",,
FOOTER_SECTION_PAGES,global,footer,section_heading,Pages,,
FOOTER_SECTION_CONNECT,global,footer,section_heading,Connect,,
FOOTER_NAV_ABOUT,global,footer,nav_label,About,,
FOOTER_NAV_VIDEOS,global,footer,nav_label,Videos,,
FOOTER_NAV_CALENDAR,global,footer,nav_label,Calendar,,
FOOTER_NAV_GALLERY,global,footer,nav_label,Gallery,,
FOOTER_NAV_GET_INVOLVED,global,footer,nav_label,Get Involved,,
FOOTER_SOCIAL_YOUTUBE,global,footer,social_label,YouTube,,
FOOTER_SOCIAL_INSTAGRAM,global,footer,social_label,Instagram,,
FOOTER_SOCIAL_TIKTOK,global,footer,social_label,TikTok,,
FOOTER_SOCIAL_DISCORD,global,footer,social_label,Discord,,
FOOTER_EMAIL,global,footer,contact_email,dadskeletoncomedy@gmail.com,,
FOOTER_PHONE,global,footer,contact_phone,(760) 613-6451,,
FOOTER_COPYRIGHT,global,footer,copyright_template,"© {YEAR} Dad Skeleton. All rights reserved.",,Leave {YEAR} placeholder
HOME_H1_WORD_1,home,hero,h1_word,Dad,,
HOME_H1_WORD_2,home,hero,h1_word,Skeleton,,
HOME_HERO_SUBHEAD,home,hero,subhead,"Comedy troupe bringing improv, sketches, and live shows",,
HOME_CTA_PRIMARY,home,hero,button_label,See Upcoming Shows,,
HOME_CTA_SECONDARY,home,hero,button_label,Watch Videos,,
HOME_NEXT_SHOW_HEADING_PREFIX,home,next_show,heading_prefix,Next Show:,,
HOME_NEXT_SHOW_NAME,home,next_show,show_name,The Skeleton Wars,,
HOME_NEXT_SHOW_BODY,home,next_show,body,"Our flagship production returns February 14th. Bones will rattle. Laughs will echo. Don't miss the most skeletal comedy event of the year.",,
HOME_NEXT_SHOW_LINK,home,next_show,link_label,Get tickets,,
HOME_NEWSLETTER_HEADING,home,newsletter,heading,Stay in the Loop,,
HOME_NEWSLETTER_BODY,home,newsletter,body,"Get show announcements, behind-the-scenes content, and exclusive updates delivered straight to your inbox.",,
HOME_NEWSLETTER_BUTTON,home,newsletter,button_label,Subscribe on Substack,,
HOME_HERO_IMG_ALT,home,images,alt,"Dad Skeleton performance hero photo",,
HOME_GRID_IMG_1_ALT,home,images,alt,"Kim Knife portrait",,
HOME_GRID_IMG_2_ALT,home,images,alt,"Jacob portrait",,
HOME_GRID_IMG_3_ALT,home,images,alt,"Vince portrait",,
HOME_GRID_IMG_4_ALT,home,images,alt,"Paige portrait",,
HOME_GRID_IMG_5_ALT,home,images,alt,"Paige and Jacob duo",,
HOME_GRID_IMG_6_ALT,home,images,alt,"Ensemble portrait",,
HOME_BOTTOM_IMG_ALT,home,images,alt,"Dad Skeleton team group photo",,
ABOUT_H1,about,hero,h1,About Us,,
ABOUT_HERO_IMG_ALT,about,hero,alt,"Wide portrait of Dad Skeleton performers in a styled group setup",,
ABOUT_SECTION_1_HEADING,about,content,heading,Our Troupe,,
ABOUT_SECTION_1_BODY,about,content,body,"Dad Skeleton is a comedy troupe dedicated to bringing laughter through improv, sketch comedy, and live performances. We blend absurdist humor with sharp wit to create unforgettable shows.",,
ABOUT_SECTION_2_HEADING,about,content,heading,Our Mission,,
ABOUT_SECTION_2_BODY,about,content,body,"We believe comedy should be bold, inclusive, and boundary-pushing. Our mission is to create a space where audiences can escape the ordinary and experience the unexpected.",,
ABOUT_SECTION_3_HEADING,about,content,heading,The Team,,
ABOUT_SECTION_3_BODY,about,content,body,"Our performers come from diverse backgrounds in theater, comedy, and the arts. Together, we craft shows that are equal parts chaos and brilliance.",,
ABOUT_SIDEBAR_IMG_1_ALT,about,images,alt,"Black and white portrait of Jacob from a Dad Skeleton shoot",,
ABOUT_SIDEBAR_IMG_2_ALT,about,images,alt,"Paige portrait with dramatic stage-style composition",,
ABOUT_TEAM_GRID_HEADING,about,team_grid,heading,Meet the Skeletons,,
ABOUT_TEAM_1_NAME,about,team_grid,name,Jacob,,
ABOUT_TEAM_1_ROLE,about,team_grid,role,Performer / Writer,,
ABOUT_TEAM_1_ALT,about,team_grid,alt,"Jacob posing in character for Dad Skeleton promo materials",,
ABOUT_TEAM_2_NAME,about,team_grid,name,Paige,,
ABOUT_TEAM_2_ROLE,about,team_grid,role,Performer,,
